Dataset,Instance,LP_Objective,IP_Objective,Iteration_Count,Correct_IP,Delta
1,0,8.0,8.0,21,8.0,0.0
1,1,7.0,7.0,7,7.0,0.0
1,2,7.25,8.0,13,8.0,0.0
1,3,6.333333333333333,7.0,17,7.0,0.0
1,4,7.166666666666666,8.0,16,8.0,0.0
1,5,6.5,7.0,19,7.0,0.0
1,6,7.0,7.0,7,7.0,0.0
1,7,6.333333333333333,7.0,17,7.0,0.0
1,8,8.0,8.0,9,8.0,0.0
1,9,7.0,7.0,11,7.0,0.0
2,0,14.333333333333334,15.0,47,15.0,0.0
2,1,12.6,13.0,51,13.0,0.0
2,2,14.0,14.0,46,14.0,0.0
2,3,13.8,14.0,59,14.0,0.0
2,4,13.0,13.0,49,13.0,0.0
2,5,13.083333333333332,14.0,61,14.0,0.0
2,6,15.0,15.0,34,15.0,0.0
2,7,11.5,12.0,57,12.0,0.0
2,8,13.0,13.0,33,13.0,0.0
2,9,12.0,12.0,52,12.0,0.0
3,0,20.756944444444443,21.0,115,21.0,0.0
3,1,19.11111111111111,20.0,117,20.0,0.0
3,2,20.51851851851852,21.0,100,21.0,0.0
3,3,20.346938775510203,21.0,116,21.0,0.0
3,4,21.499999999999993,22.0,78,22.0,0.0
3,5,20.58181818181819,21.0,99,21.0,0.0
3,6,18.729044834307988,19.0,111,19.0,0.0
3,7,21.0,21.0,97,21.0,0.0
3,8,22.25,23.0,90,23.0,0.0
3,9,20.875,21.0,87,21.0,0.0
